Nome,Ruolo,Squadra,Media,FantaMedia,>= 6,MotM,Con voto,Senza voto,G,R,Reti,Rigori,Assist,Rigori sbagliati,Autogoal,Goal subiti,Rigori parati,Attivo
Joao Mario,Difensore,Juventus,6.00,5.75,2,0,2,0,1,0,0,0,0,0,0,0,0,True
Marusic,Difensore,Lazio,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Rovella,Centrocampista,Lazio,6.00,6.50,1,0,2,0,0,0,0,0,1,0,0,0,0,True
Gaspar K.,Difensore,Lecce,5.75,5.50,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Coulibaly L.,Centrocampista,Lecce,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Tomori,Difensore,Milan,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Simeone,Attaccante,Torino,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Djuric,Attaccante,Parma,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
El Shaarawy,Centrocampista,Roma,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Israel,Portiere,Torino,5.75,3.75,1,0,2,0,0,0,0,0,0,0,0,5,0,True
Coco,Difensore,Torino,5.50,5.50,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Biraghi,Difensore,Torino,5.50,5.50,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Ngonge,Attaccante,Torino,5.25,5.25,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Sanabria,Attaccante,Cremonese,6.25,6.50,2,0,2,0,1,0,0,0,1,0,0,0,0,True
Atta,Centrocampista,Udinese,6.75,8.25,2,0,2,0,0,0,1,0,0,0,0,0,0,True
Suslov,Centrocampista,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Aboukhlal,Attaccante,Torino,5.50,5.50,0,0,1,1,0,0,0,0,0,0,0,0,0,True
Brescianini,Centrocampista,Atalanta,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Holm,Difensore,Bologna,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Pobega,Centrocampista,Bologna,5.50,5.25,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Mina,Difensore,Cagliari,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Vojvoda,Difensore,Como,6.50,6.25,2,0,2,0,1,0,0,0,0,0,0,0,0,True
De Winter,Difensore,Milan,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Messias,Centrocampista,Genoa,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Zalewski,Centrocampista,Atalanta,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Esposito Se.,Attaccante,Cagliari,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Bonny,Attaccante,Inter,7.00,10.00,1,0,1,1,0,0,1,0,0,0,0,0,0,True
Esposito F.P.,Attaccante,Inter,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Kelly L.,Difensore,Juventus,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Romagnoli,Difensore,Lazio,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Falcone,Portiere,Lecce,6.75,6.25,2,0,2,0,0,0,0,0,0,0,0,2,0,True
